content_id,title,body_html,section_number,url,publication_date,last_updated_date,authors,tags,content,file_name,page,chapter,start_index,end_index,manual_url
07f0ab4f-d4b5-5f10-bbe1-dc0543149954,Incorrect Advice to Customers: Introduction,"HMRC is responsible for a significant number of taxes, duties, contributions, credits and other services. Our customers sometimes need advice from us to get their affairs right. Case-specific advice can be

in writing, such as a clearance or a ruling after a compliance event
face-to-face
by phone.

It includes any instance where we advise a customer about a specific aspect of their tax affairs.
In the vast majority of cases the advice we give will be correct, but there will be occasions when we make a mistake and give incorrect advice.
This guidance is to help you decide when HMRC is bound by incorrect case-specific advice. It does not cover any other circumstances where we might give misleading advice, such as an incorrect public notice. If you think a customer has been misled by incorrect or misleading published guidance, you should contact the relevant technical advice team for further information.
Any reference in this guidance to tax or taxes includes all of the taxes, duties, contributions, credits etc for which HMRC is responsible, but see below for exceptions to this.
The terms remit and remission are used throughout this guidance to refer to both repaying tax wrongly paid or declared, and forgoing collection of tax which should have been paid or declared and has not.
There are special rules for cases relating to overdeclaration claims in indirect taxes. Please see ADML1500.
If your case concerns customs duties or import VAT, you must consult Notice 199 or Customs Directorate before making any remission.
For guidance on certain statutory clearances and approvals, see the information at clearances and approvals provided for in the Taxes Acts
",ADML1100,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1100/,2016-03-11T20:20:55+00:00,2024-06-17T16:46:17+01:00,HM Revenue & Customs,['ADML1000'],"HMRC is responsible for a significant number of taxes, duties, contributions, credits and other services. Our customers sometimes need advice from us to get their affairs right. Case-specific advice can be

in writing, such as a clearance or a ruling after a compliance event
face-to-face
by phone.

It includes any instance where we advise a customer about a specific aspect of their tax affairs.
In the vast majority of cases the advice we give will be correct, but there will be occasions when we make a mistake and give incorrect advice.
This guidance is to help you decide when HMRC is bound by incorrect case-specific advice. It does not cover any other circumstances where we might give misleading advice, such as an incorrect public notice. If you think a customer has been misled by incorrect or misleading published guidance, you should contact the relevant technical advice team for further information.
Any reference in this guidance to tax or taxes includes all of the taxes, duties, contributions, credits etc for which HMRC is responsible, but see below for exceptions to this.
The terms remit and remission are used throughout this guidance to refer to both repaying tax wrongly paid or declared, and forgoing collection of tax which should have been paid or declared and has not.
There are special rules for cases relating to overdeclaration claims in indirect taxes. Please see ADML1500.
If your case concerns customs duties or import VAT, you must consult Notice 199 or Customs Directorate before making any remission.
For guidance on certain statutory clearances and approvals, see the information at clearances and approvals provided for in the Taxes Acts
",Incorrect Advice to Customers: Introduction,"HMRC is responsible for a significant number of taxes, duties, contributions, credits and other services. Our customers sometimes need advice from us to get their affairs right. Case-specific advice can be

in writing, such as a clearance or a ruling after a compliance event
face-to-face
by phone.

It includes any instance where we advise a customer about a specific aspect of their tax affairs.
In the vast majority of cases the advice we give will be correct, but there will be occasions when we make a mistake and give incorrect advice.
This guidance is to help you decide when HMRC is bound by incorrect case-specific advice. It does not cover any other circumstances where we might give misleading advice, such as an incorrect public notice. If you think a customer has been misled by incorrect or misleading published guidance, you should contact the relevant technical advice team for further information.
Any reference in this guidance to tax or taxes includes all of the taxes, duties, contributions, credits etc for which HMRC is responsible, but see below for exceptions to this.
The terms remit and remission are used throughout this guidance to refer to both repaying tax wrongly paid or declared, and forgoing collection of tax which should have been paid or declared and has not.
There are special rules for cases relating to overdeclaration claims in indirect taxes. Please see ADML1500.
If your case concerns customs duties or import VAT, you must consult Notice 199 or Customs Directorate before making any remission.
For guidance on certain statutory clearances and approvals, see the information at clearances and approvals provided for in the Taxes Acts
",N/A,0,1677,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1100/
95e3ea94-e4b4-57a9-a91b-842ed30eecb0,Incorrect Advice to Customers: Collection and management,"HMRC’s duty to apply the law correctly
The Commissioners for Revenue & Customs are charged by Parliament with collecting or paying and managing all of the taxes formerly the responsibility of HM Customs and Excise and the Inland Revenue, including tax credits and National Insurance. The Department has a duty to collect the correct amount of tax as required by statute and has limited powers to decide to do otherwise.
The Commissioners have some limited discretion with regard to this collection and management, under section 5 of the Commissioners for Revenue & Customs Act 2005, but can only forgo the collection of taxes if this would obtain a higher net return for the national exchequer (for example, if it would cost £500 to collect tax of £50, forgoing the tax in question increases the overall yield by reducing the cost of collection). This principle has been expressed in a number of tax cases, most notably Wilkinson-v-Commissioners of Inland Revenue in the Court of Appeal 2003.
Top of page
Legitimate Expectation
In some cases, HMRC might act in such a way that it leads a person to believe he is acting correctly when in law he is not. In this situation, the person might be entitled to rely on the advice he received from HMRC. The person has a ‘legitimate expectation’ that HMRC will treat him in a certain way and is protected by the courts on the basis that the principles of fairness, proportionality, predictability and certainty should not be disregarded. This manual deals only with situations arising from incorrect specific advice given to individual taxpayers and businesses. If you have a case concerning any other aspect of legitimate expectation, please contact TADPol1 team using the guidance form for further advice.
The starting point for all cases is that HMRC is not bound by any advice it gives which is incorrect in law. However, in some instances which will be outlined in more detail later in this manual, HMRC might be bound by such incorrect advice, especially if we are able to apply discretion under our powers of collection and management. Please see ADML1300 for the tests to apply to decide if HMRC is bound by incorrect advice.
In all circumstances, where we have given incorrect advice, we must correct the position for the future. See ADML2000 for more detail.
Top of page
Obligations on HMRC as a public body
HMRC also has a duty under public law to treat taxpayers fairly. There will be some circumstances in relation to incorrect advice in which the courts would rule that to apply the strict letter of the law would be so unfair as to amount to an abuse of power. However, the circumstances need to be exceptional for a court to consider our conduct to be an abuse of power.
",ADML1200,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1200/,2016-03-11T20:20:57+00:00,2024-06-17T17:11:00+01:00,HM Revenue & Customs,['ADML1000'],"HMRC’s duty to apply the law correctly
The Commissioners for Revenue & Customs are charged by Parliament with collecting or paying and managing all of the taxes formerly the responsibility of HM Customs and Excise and the Inland Revenue, including tax credits and National Insurance. The Department has a duty to collect the correct amount of tax as required by statute and has limited powers to decide to do otherwise.
The Commissioners have some limited discretion with regard to this collection and management, under section 5 of the Commissioners for Revenue & Customs Act 2005, but can only forgo the collection of taxes if this would obtain a higher net return for the national exchequer (for example, if it would cost £500 to collect tax of £50, forgoing the tax in question increases the overall yield by reducing the cost of collection). This principle has been expressed in a number of tax cases, most notably Wilkinson-v-Commissioners of Inland Revenue in the Court of Appeal 2003.
Top of page
Legitimate Expectation
In some cases, HMRC might act in such a way that it leads a person to believe he is acting correctly when in law he is not. In this situation, the person might be entitled to rely on the advice he received from HMRC. The person has a ‘legitimate expectation’ that HMRC will treat him in a certain way and is protected by the courts on the basis that the principles of fairness, proportionality, predictability and certainty should not be disregarded. This manual deals only with situations arising from incorrect specific advice given to individual taxpayers and businesses. If you have a case concerning any other aspect of legitimate expectation, please contact TADPol1 team using the guidance form for further advice.
The starting point for all cases is that HMRC is not bound by any advice it gives which is incorrect in law. However, in some instances which will be outlined in more detail later in this manual, HMRC might be bound by such incorrect advice, especially if we are able to apply discretion under our powers of collection and management. Please see ADML1300 for the tests to apply to decide if HMRC is bound by incorrect advice.
In all circumstances, where we have given incorrect advice, we must correct the position for the future. See ADML2000 for more detail.
Top of page
Obligations on HMRC as a public body
HMRC also has a duty under public law to treat taxpayers fairly. There will be some circumstances in relation to incorrect advice in which the courts would rule that to apply the strict letter of the law would be so unfair as to amount to an abuse of power. However, the circumstances need to be exceptional for a court to consider our conduct to be an abuse of power.
",Incorrect Advice to Customers: Collection and management,"HMRC’s duty to apply the law correctly
The Commissioners for Revenue & Customs are charged by Parliament with collecting or paying and managing all of the taxes formerly the responsibility of HM Customs and Excise and the Inland Revenue, including tax credits and National Insurance. The Department has a duty to collect the correct amount of tax as required by statute and has limited powers to decide to do otherwise.
The Commissioners have some limited discretion with regard to this collection and management, under section 5 of the Commissioners for Revenue & Customs Act 2005, but can only forgo the collection of taxes if this would obtain a higher net return for the national exchequer (for example, if it would cost £500 to collect tax of £50, forgoing the tax in question increases the overall yield by reducing the cost of collection). This principle has been expressed in a number of tax cases, most notably Wilkinson-v-Commissioners of Inland Revenue in the Court of Appeal 2003.
Top of page
Legitimate Expectation
In some cases, HMRC might act in such a way that it leads a person to believe he is acting correctly when in law he is not. In this situation, the person might be entitled to rely on the advice he received from HMRC. The person has a ‘legitimate expectation’ that HMRC will treat him in a certain way and is protected by the courts on the basis that the principles of fairness, proportionality, predictability and certainty should not be disregarded. This manual deals only with situations arising from incorrect specific advice given to individual taxpayers and businesses. If you have a case concerning any other aspect of legitimate expectation, please contact TADPol1 team using the guidance form for further advice.
The starting point for all cases is that HMRC is not bound by any advice it gives which is incorrect in law. However, in some instances which will be outlined in more detail later in this manual, HMRC might be bound by such incorrect advice, especially if we are able to apply discretion under our powers of collection and management. Please see ADML1300 for the tests to apply to decide if HMRC is bound by incorrect advice.
In all circumstances, where we have given incorrect advice, we must correct the position for the future. See ADML2000 for more detail.
Top of page
Obligations on HMRC as a public body
HMRC also has a duty under public law to treat taxpayers fairly. There will be some circumstances in relation to incorrect advice in which the courts would rule that to apply the strict letter of the law would be so unfair as to amount to an abuse of power. However, the circumstances need to be exceptional for a court to consider our conduct to be an abuse of power.
",N/A,0,2728,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1200/
10e1791f-2d15-58f7-abd4-88c5983747aa,Incorrect Advice to Customers: When incorrect advice can be binding,"HMRC is only bound by incorrect advice in circumstances where all of the following tests are met:
The customer made it plain he or she was seeking fully considered advice and indicated what it would be used forThe customer provided all information relevant to the queryThe advice given by HMRC was clear, unambiguous and without qualificationThe customer acted in reliance on the advice (i.e. he or she did or refrained from doing something as a direct consequence of the advice)The customer would suffer detriment if the correct statutory position were applied; (e.g. he would be financially worse off than if the correct advice had been given in the first place)To apply the correct statutory position would be so unfair as to constitute an abuse of power (see ADML1400).
A customer can only suffer detriment if he or she is subject to real harm or loss. It is not sufficient to merely suffer disappointment or upset.
These are stretching tests for which there will not always be direct or conclusive evidence. If necessary a reasoned judgement should be made on the balance of probabilities.
If you feel that these tests are met, a higher net return to the Exchequer might be achieved by sticking with the tax treatment of the incorrect advice for the past. Each case must be considered on its own merits. You must keep a record of your decisions reached in such cases and the factors taken into consideration. If you are in any doubt please contact  TADPol1 team using the guidance form for further advice.
",ADML1300,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1300/,2016-03-11T20:20:59+00:00,2024-06-17T16:47:38+01:00,HM Revenue & Customs,['ADML1000'],"HMRC is only bound by incorrect advice in circumstances where all of the following tests are met:
The customer made it plain he or she was seeking fully considered advice and indicated what it would be used forThe customer provided all information relevant to the queryThe advice given by HMRC was clear, unambiguous and without qualificationThe customer acted in reliance on the advice (i.e. he or she did or refrained from doing something as a direct consequence of the advice)The customer would suffer detriment if the correct statutory position were applied; (e.g. he would be financially worse off than if the correct advice had been given in the first place)To apply the correct statutory position would be so unfair as to constitute an abuse of power (see ADML1400).
A customer can only suffer detriment if he or she is subject to real harm or loss. It is not sufficient to merely suffer disappointment or upset.
These are stretching tests for which there will not always be direct or conclusive evidence. If necessary a reasoned judgement should be made on the balance of probabilities.
If you feel that these tests are met, a higher net return to the Exchequer might be achieved by sticking with the tax treatment of the incorrect advice for the past. Each case must be considered on its own merits. You must keep a record of your decisions reached in such cases and the factors taken into consideration. If you are in any doubt please contact  TADPol1 team using the guidance form for further advice.
",Incorrect Advice to Customers: When incorrect advice can be binding,"HMRC is only bound by incorrect advice in circumstances where all of the following tests are met:
The customer made it plain he or she was seeking fully considered advice and indicated what it would be used forThe customer provided all information relevant to the queryThe advice given by HMRC was clear, unambiguous and without qualificationThe customer acted in reliance on the advice (i.e. he or she did or refrained from doing something as a direct consequence of the advice)The customer would suffer detriment if the correct statutory position were applied; (e.g. he would be financially worse off than if the correct advice had been given in the first place)To apply the correct statutory position would be so unfair as to constitute an abuse of power (see ADML1400).
A customer can only suffer detriment if he or she is subject to real harm or loss. It is not sufficient to merely suffer disappointment or upset.
These are stretching tests for which there will not always be direct or conclusive evidence. If necessary a reasoned judgement should be made on the balance of probabilities.
If you feel that these tests are met, a higher net return to the Exchequer might be achieved by sticking with the tax treatment of the incorrect advice for the past. Each case must be considered on its own merits. You must keep a record of your decisions reached in such cases and the factors taken into consideration. If you are in any doubt please contact  TADPol1 team using the guidance form for further advice.
",N/A,0,1511,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1300/
25567f1d-c46a-585c-92d8-51c797ab708c,Incorrect Advice to Customers: Detriment,"In all cases where a customer has received incorrect advice, it is important to examine the facts in light of the points in ADML1300. The starting point for all considerations must be that the courts will seek to apply the law, in other words HMRC should collect the correct amount of tax unless there are compelling reasons to not do so. This might be difficult or embarrassing for HMRC, but there are only specific and limited circumstances in which HMRC can exercise some discretion.
One of the tests to be applied is to consider if the correct application of the law would result in detriment to the taxpayer. If so, especially if this seriously affects the customer’s livelihood or business, and it is more likely that the courts would regard a correct application of the law as so unfair that it would be an abuse of our power, though the other conditions in ADML1300 must also be met. We would therefore be bound by our incorrect advice for the past, whilst ensuring the law is applied correctly for the future.
The taxpayer must suffer real and significant detriment before HMRC can regard itself as bound by incorrect advice.
",ADML1400,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1400/,2016-03-11T20:21:01+00:00,2024-06-17T16:50:54+01:00,HM Revenue & Customs,['ADML1000'],"In all cases where a customer has received incorrect advice, it is important to examine the facts in light of the points in ADML1300. The starting point for all considerations must be that the courts will seek to apply the law, in other words HMRC should collect the correct amount of tax unless there are compelling reasons to not do so. This might be difficult or embarrassing for HMRC, but there are only specific and limited circumstances in which HMRC can exercise some discretion.
One of the tests to be applied is to consider if the correct application of the law would result in detriment to the taxpayer. If so, especially if this seriously affects the customer’s livelihood or business, and it is more likely that the courts would regard a correct application of the law as so unfair that it would be an abuse of our power, though the other conditions in ADML1300 must also be met. We would therefore be bound by our incorrect advice for the past, whilst ensuring the law is applied correctly for the future.
The taxpayer must suffer real and significant detriment before HMRC can regard itself as bound by incorrect advice.
",Incorrect Advice to Customers: Detriment,"In all cases where a customer has received incorrect advice, it is important to examine the facts in light of the points in ADML1300. The starting point for all considerations must be that the courts will seek to apply the law, in other words HMRC should collect the correct amount of tax unless there are compelling reasons to not do so. This might be difficult or embarrassing for HMRC, but there are only specific and limited circumstances in which HMRC can exercise some discretion.
One of the tests to be applied is to consider if the correct application of the law would result in detriment to the taxpayer. If so, especially if this seriously affects the customer’s livelihood or business, and it is more likely that the courts would regard a correct application of the law as so unfair that it would be an abuse of our power, though the other conditions in ADML1300 must also be met. We would therefore be bound by our incorrect advice for the past, whilst ensuring the law is applied correctly for the future.
The taxpayer must suffer real and significant detriment before HMRC can regard itself as bound by incorrect advice.
",N/A,0,1135,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1400/
601fdf74-aeb1-5ca4-9010-8520a71578fc,Incorrect Advice to Customers: Tax specific issues,"You must always take into account any special factors and legal restrictions or requirements relating to the tax in which you work. If you are unsure you should seek further advice from other guidance or the relevant technical adviser.
Please refer to the link in ADML1100 for statutory clearances and approvals.
Cases involving overdeclared VAT are subject to separate statute and must not be considered using this guidance alone. For such cases, you must also consult VAT Refunds Manual or TALA.
Similar provisions apply to other indirect taxes and for any cases where a customer claims to have made overdeclarations or overpayaments in these areas you must consult the appropriate guidance or technical advisors.
If your case concerns customs duties or import VAT, you must consult Notice 199 or National Duty Repayment Centre before making any remission.
",ADML1500,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1500/,2016-03-11T20:21:03+00:00,2024-06-17T17:02:03+01:00,HM Revenue & Customs,['ADML1000'],"You must always take into account any special factors and legal restrictions or requirements relating to the tax in which you work. If you are unsure you should seek further advice from other guidance or the relevant technical adviser.
Please refer to the link in ADML1100 for statutory clearances and approvals.
Cases involving overdeclared VAT are subject to separate statute and must not be considered using this guidance alone. For such cases, you must also consult VAT Refunds Manual or TALA.
Similar provisions apply to other indirect taxes and for any cases where a customer claims to have made overdeclarations or overpayaments in these areas you must consult the appropriate guidance or technical advisors.
If your case concerns customs duties or import VAT, you must consult Notice 199 or National Duty Repayment Centre before making any remission.
",Incorrect Advice to Customers: Tax specific issues,"You must always take into account any special factors and legal restrictions or requirements relating to the tax in which you work. If you are unsure you should seek further advice from other guidance or the relevant technical adviser.
Please refer to the link in ADML1100 for statutory clearances and approvals.
Cases involving overdeclared VAT are subject to separate statute and must not be considered using this guidance alone. For such cases, you must also consult VAT Refunds Manual or TALA.
Similar provisions apply to other indirect taxes and for any cases where a customer claims to have made overdeclarations or overpayaments in these areas you must consult the appropriate guidance or technical advisors.
If your case concerns customs duties or import VAT, you must consult Notice 199 or National Duty Repayment Centre before making any remission.
",N/A,0,859,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1500/
1aac6e95-1ec6-53e8-806a-2baa7d06e5bd,What this means in practice: Contents,"
",ADML1600,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1600/,2016-03-11T20:21:05+00:00,2024-06-17T16:49:10+01:00,HM Revenue & Customs,['ADML1000'],"
",What this means in practice: Contents,"
",N/A,0,1,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1600/
c0499367-7f40-56c1-a0db-699d2e840fa0,Incorrect Advice to Customers: Advice overtaken by a change in the law,"Sometimes we give advice which is correct at the time it was given, but is later rendered incorrect by new legislation, or by a change in the prevailing understanding of the law following a court or tribunal judgement.
In the case of the former, if the legislation is retrospective we will not be bound by any advice we have previously given covering the period of retrospection. This situation very rarely occurs.
If the new statute comes into force before the transaction in question, any advice given prior to the new legislation will not be considered to be binding. HMRC has a duty to collect the correct amount of tax as required by statute at the time the transaction takes place. It remains the customer’s responsibility to take account of changes in the law.
When a court judgment changes the prevailing interpretation of the law on which the advice was based, you should refer to guidance or the relevant technical adviser before taking any action or entering into discussions with the customer.
",ADML1700,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1700/,2016-03-11T20:21:16+00:00,2024-06-17T17:16:43+01:00,HM Revenue & Customs,['ADML1000'],"Sometimes we give advice which is correct at the time it was given, but is later rendered incorrect by new legislation, or by a change in the prevailing understanding of the law following a court or tribunal judgement.
In the case of the former, if the legislation is retrospective we will not be bound by any advice we have previously given covering the period of retrospection. This situation very rarely occurs.
If the new statute comes into force before the transaction in question, any advice given prior to the new legislation will not be considered to be binding. HMRC has a duty to collect the correct amount of tax as required by statute at the time the transaction takes place. It remains the customer’s responsibility to take account of changes in the law.
When a court judgment changes the prevailing interpretation of the law on which the advice was based, you should refer to guidance or the relevant technical adviser before taking any action or entering into discussions with the customer.
",Incorrect Advice to Customers: Advice overtaken by a change in the law,"Sometimes we give advice which is correct at the time it was given, but is later rendered incorrect by new legislation, or by a change in the prevailing understanding of the law following a court or tribunal judgement.
In the case of the former, if the legislation is retrospective we will not be bound by any advice we have previously given covering the period of retrospection. This situation very rarely occurs.
If the new statute comes into force before the transaction in question, any advice given prior to the new legislation will not be considered to be binding. HMRC has a duty to collect the correct amount of tax as required by statute at the time the transaction takes place. It remains the customer’s responsibility to take account of changes in the law.
When a court judgment changes the prevailing interpretation of the law on which the advice was based, you should refer to guidance or the relevant technical adviser before taking any action or entering into discussions with the customer.
",N/A,0,1006,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1700/
f374ce0b-7402-58ef-9017-049da815f00a,Incorrect Advice to Customers: Unsolicited Advice,"There are occasions when we will give advice to customers unsolicited, for example in a letter following a compliance intervention. HMRC will be bound by any advice given only if the conditions in ADML1300 are met, though the first bullet point will not apply
",ADML1800,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1800/,2016-03-11T20:21:18+00:00,2024-06-17T17:23:35+01:00,HM Revenue & Customs,['ADML1000'],"There are occasions when we will give advice to customers unsolicited, for example in a letter following a compliance intervention. HMRC will be bound by any advice given only if the conditions in ADML1300 are met, though the first bullet point will not apply
",Incorrect Advice to Customers: Unsolicited Advice,"There are occasions when we will give advice to customers unsolicited, for example in a letter following a compliance intervention. HMRC will be bound by any advice given only if the conditions in ADML1300 are met, though the first bullet point will not apply
",N/A,0,260,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1800/
91d738bc-b9ad-5040-9728-bc789f473b35,Incorrect Advice to Customers: Who should decide individual cases,"Cases can be considered for remission by anyone of Officer grade or above, in line with the principles of this guidance. You should check your Business Unit’s policy to make sure you know who should deal with such cases. Recommendations must be authorised in accordance with the remission authorisation levels for ‘uneconomical to pursue’ which can be found in DMB guidance.
If you are unsure on any point or would like further guidance please contact  TADPol1 team using the guidance form .
",ADML1900,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1900/,2016-03-11T20:21:20+00:00,2024-06-17T17:10:25+01:00,HM Revenue & Customs,['ADML1000'],"Cases can be considered for remission by anyone of Officer grade or above, in line with the principles of this guidance. You should check your Business Unit’s policy to make sure you know who should deal with such cases. Recommendations must be authorised in accordance with the remission authorisation levels for ‘uneconomical to pursue’ which can be found in DMB guidance.
If you are unsure on any point or would like further guidance please contact  TADPol1 team using the guidance form .
",Incorrect Advice to Customers: Who should decide individual cases,"Cases can be considered for remission by anyone of Officer grade or above, in line with the principles of this guidance. You should check your Business Unit’s policy to make sure you know who should deal with such cases. Recommendations must be authorised in accordance with the remission authorisation levels for ‘uneconomical to pursue’ which can be found in DMB guidance.
If you are unsure on any point or would like further guidance please contact  TADPol1 team using the guidance form .
",N/A,0,492,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml1900/
1a2d4101-157f-5efb-8bc2-046ed99586c4,Incorrect Advice to Customers: Correcting the tax position,"When HMRC is bound by incorrect advice
Any ‘legitimate expectation’ can only apply for the past and we must correct the tax position as soon as possible.
If on full consideration of all facts HMRC is bound by the incorrect advice, the customer should be informed in writing of the correct application of the tax law in his or her circumstances, and when the customer should begin to apply this corrected treatment. This will normally be the date on which the error was drawn to the taxpayer’s attention. You should not use the term “remission” and the customer should not be told that any assessment or amendment is withdrawn. Instead, you should simply say that HMRC has decided to take no further action in respect of the error.
You must report all such losses to the Revenue Losses Team in DMB. Please see DMB Guidance 
When HMRC is not bound by incorrect advice
If on full consideration of all facts HMRC is not bound by the incorrect advice, the customer should be informed in writing of the correct application of the tax in his or her circumstances. If the customer has already made underdeclarations or overclaims, the tax should be recovered via the normal methods. Any question of penalties or interest should be considered in line with the appropriate guidance
",ADML2000,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml2000/,2016-03-11T20:21:21+00:00,2024-06-17T16:49:04+01:00,HM Revenue & Customs,['ADML1000'],"When HMRC is bound by incorrect advice
Any ‘legitimate expectation’ can only apply for the past and we must correct the tax position as soon as possible.
If on full consideration of all facts HMRC is bound by the incorrect advice, the customer should be informed in writing of the correct application of the tax law in his or her circumstances, and when the customer should begin to apply this corrected treatment. This will normally be the date on which the error was drawn to the taxpayer’s attention. You should not use the term “remission” and the customer should not be told that any assessment or amendment is withdrawn. Instead, you should simply say that HMRC has decided to take no further action in respect of the error.
You must report all such losses to the Revenue Losses Team in DMB. Please see DMB Guidance 
When HMRC is not bound by incorrect advice
If on full consideration of all facts HMRC is not bound by the incorrect advice, the customer should be informed in writing of the correct application of the tax in his or her circumstances. If the customer has already made underdeclarations or overclaims, the tax should be recovered via the normal methods. Any question of penalties or interest should be considered in line with the appropriate guidance
",Incorrect Advice to Customers: Correcting the tax position,"When HMRC is bound by incorrect advice
Any ‘legitimate expectation’ can only apply for the past and we must correct the tax position as soon as possible.
If on full consideration of all facts HMRC is bound by the incorrect advice, the customer should be informed in writing of the correct application of the tax law in his or her circumstances, and when the customer should begin to apply this corrected treatment. This will normally be the date on which the error was drawn to the taxpayer’s attention. You should not use the term “remission” and the customer should not be told that any assessment or amendment is withdrawn. Instead, you should simply say that HMRC has decided to take no further action in respect of the error.
You must report all such losses to the Revenue Losses Team in DMB. Please see DMB Guidance 
When HMRC is not bound by incorrect advice
If on full consideration of all facts HMRC is not bound by the incorrect advice, the customer should be informed in writing of the correct application of the tax in his or her circumstances. If the customer has already made underdeclarations or overclaims, the tax should be recovered via the normal methods. Any question of penalties or interest should be considered in line with the appropriate guidance
",N/A,0,1272,https://www.gov.uk/api/content/hmrc-internal-manuals/admin-law-manual/adml2000/
